Date,Stars
2021-12-14,446
2021-12-15,446
2021-12-16,446
2021-12-17,446
2021-12-18,446
2021-12-19,446
2021-12-20,446
2021-12-21,446
2021-12-22,447
2021-12-23,449
2021-12-24,449
2021-12-25,449
2021-12-26,449
2021-12-27,449
2021-12-28,450
2021-12-29,450
2021-12-30,450
2021-12-31,450
2022-01-01,450
2022-01-02,450
2022-01-03,450
2022-01-04,450
2022-01-05,450
2022-01-06,450
2022-01-07,450
2022-01-08,449
2022-01-09,449
2022-01-10,449
2022-01-11,449
2022-01-12,449
2022-01-13,449
2022-01-14,449
2022-01-15,449
2022-01-16,449
2022-01-17,451
2022-01-18,451
2022-01-19,451
2022-01-20,451
2022-01-21,451
2022-01-22,452
2022-01-23,452
2022-01-24,452
2022-01-25,452
2022-01-26,452
2022-01-27,452
2022-01-28,452
2022-01-29,452
2022-01-30,452
2022-01-31,452
2022-02-01,452
2022-02-02,452
2022-02-03,452
2022-02-04,452
2022-02-05,452
2022-02-06,452
2022-02-07,453
2022-02-08,453
2022-02-09,454
2022-02-10,454
2022-02-11,454
2022-02-12,454
2022-02-13,454
2022-02-14,454
2022-02-15,454
2022-02-16,455
2022-02-17,455
2022-02-18,455
2022-02-19,455
2022-02-20,455
2022-02-21,455
2022-02-22,455
2022-02-23,455
2022-02-24,455
2022-02-25,455
2022-02-26,455
2022-02-27,455
2022-02-28,455
2022-03-01,455
2022-03-02,456
2022-03-03,456
2022-03-04,457
2022-03-05,457
2022-03-06,457
2022-03-07,457
2022-03-08,457
2022-03-09,457
2022-03-10,457
2022-03-11,457
2022-03-12,457
2022-03-13,457
2022-03-14,457
2022-03-15,457
2022-03-16,457
2022-03-17,457
2022-03-18,457
2022-03-19,457
2022-03-20,457
2022-03-21,457
2022-03-22,457
2022-03-23,457
2022-03-24,457
2022-03-25,457
2022-03-26,457
2022-03-27,457
2022-03-28,457
2022-03-29,457
2022-03-30,457
2022-03-31,457
2022-04-01,457
2022-04-02,457
2022-04-03,457
2022-04-04,457
2022-04-05,457
2022-04-06,458
2022-04-07,458
2022-04-08,458
2022-04-09,458
2022-04-10,458
2022-04-11,458
2022-04-12,458
2022-04-13,458
2022-04-14,458
2022-04-15,458
2022-04-16,458
2022-04-17,458
2022-04-18,458
2022-04-19,458
2022-04-20,458
2022-04-21,457
2022-04-22,457
2022-04-23,457
2022-04-24,457
2022-04-25,457
2022-04-26,457
2022-04-27,457
2022-04-28,457
2022-04-29,457
2022-04-30,457
2022-05-01,457
2022-05-02,457
2022-05-03,457
2022-05-04,457
2022-05-05,458
2022-05-06,458
2022-05-07,458
2022-05-08,458
2022-05-09,458
2022-05-10,458
2022-05-11,458
2022-05-12,459
2022-05-13,459
2022-05-14,460
2022-05-15,460
2022-05-16,460
2022-05-17,460
2022-05-18,460
2022-05-19,460
2022-05-20,461
2022-05-21,461
2022-05-22,461
2022-05-23,461
2022-05-24,461
2022-05-25,461
2022-05-26,461
2022-05-27,461
2022-05-28,461
2022-05-29,461
2022-05-30,461
2022-05-31,461
2022-06-01,461
2022-06-02,461
2022-06-03,461
2022-06-04,461
2022-06-05,461
2022-06-06,461
2022-06-07,460
2022-06-08,460
2022-06-09,460
2022-06-10,460
2022-06-11,459
2022-06-12,459
2022-06-13,459
2022-06-14,459
2022-06-15,459
2022-06-16,459
2022-06-17,459
2022-06-18,459
2022-06-19,459
2022-06-20,459
2022-06-21,459
2022-06-22,461
2022-06-23,462
2022-06-24,462
2022-06-25,462
2022-06-26,462
2022-06-27,462
2022-06-28,462
2022-06-29,462
2022-06-30,462
2022-07-01,462
2022-07-02,462
2022-07-03,462
2022-07-04,462
2022-07-05,467
2022-07-06,466
2022-07-07,466
2022-07-08,466
2022-07-09,466
2022-07-10,466
2022-07-11,466
2022-07-12,466
2022-07-13,466
2022-07-14,466
2022-07-15,466
2022-07-16,466
2022-07-17,466
2022-07-18,466
2022-07-19,466
2022-07-20,466
2022-07-21,466
2022-07-22,466
2022-07-23,466
2022-07-24,466
2022-07-25,466
2022-07-26,466
2022-07-27,466
2022-07-28,466
2022-07-29,466
2022-07-30,466
2022-07-31,467
2022-08-01,467
2022-08-02,467
2022-08-03,468
2022-08-04,468
2022-08-05,468
2022-08-06,468
2022-08-07,468
2022-08-08,468
2022-08-09,468
2022-08-10,468
2022-08-11,468
2022-08-12,469
2022-08-13,469
2022-08-14,469
2022-08-15,469
2022-08-16,469
2022-08-17,469
2022-08-18,469
2022-08-19,469
2022-08-20,468
2022-08-21,468
2022-08-22,469
2022-08-23,469
2022-08-24,469
2022-08-25,470
2022-08-26,471
2022-08-27,471
2022-08-28,471
2022-08-29,471
2022-08-30,471
2022-08-31,471
2022-09-01,470
2022-09-02,470
2022-09-03,470
2022-09-04,470
2022-09-05,470
2022-09-06,470
2022-09-07,470
2022-09-08,470
2022-09-09,470
2022-09-10,470
2022-09-11,470
2022-09-12,470
2022-09-13,470
2022-09-14,470
2022-09-15,470
2022-09-16,470
2022-09-17,470
2022-09-18,470
2022-09-19,470
2022-09-20,470
2022-09-21,470
2022-09-22,470
2022-09-23,470
2022-09-24,470
2022-09-25,470
2022-09-26,470
2022-09-27,470
2022-09-28,470
2022-09-29,470
2022-09-30,470
2022-10-01,470
2022-10-02,470
2022-10-03,470
2022-10-04,470
2022-10-05,470
2022-10-06,470
2022-10-07,470
2022-10-08,470
2022-10-09,470
2022-10-10,470
2022-10-11,470
2022-10-12,470
2022-10-13,470
2022-10-14,470
2022-10-15,470
2022-10-16,470
2022-10-17,470
2022-10-18,470
2022-10-19,470
2022-10-20,471
2022-10-21,471
2022-10-22,471
2022-10-23,471
2022-10-24,471
2022-10-25,471
2022-10-26,471
2022-10-27,471
2022-10-28,471
2022-10-29,471
2022-10-30,471
2022-10-31,471
2022-11-01,471
2022-11-02,471
2022-11-03,471
2022-11-04,471
2022-11-05,471
2022-11-06,471
2022-11-07,471
2022-11-08,471
2022-11-09,472
2022-11-10,472
2022-11-11,472
2022-11-12,472
2022-11-13,472
2022-11-14,472
2022-11-15,472
2022-11-16,472
2022-11-17,472
2022-11-18,472
2022-11-19,472
2022-11-20,472
2022-11-21,472
2022-11-22,472
2022-11-23,472
2022-11-24,472
2022-11-25,472
2022-11-26,472
2022-11-27,472
2022-11-28,472
2022-11-29,473
2022-11-30,473
2022-12-01,473
2022-12-02,473
2022-12-03,473
2022-12-04,473
2022-12-05,473
2022-12-06,473
2022-12-07,473
2022-12-08,473
2022-12-09,474
2022-12-10,474
2022-12-11,474
2022-12-12,474
2022-12-13,474
2022-12-14,474
2022-12-15,472
2022-12-16,472
2022-12-17,472
2022-12-18,472
2022-12-19,472
2022-12-20,472
2022-12-21,472
2022-12-22,472
2022-12-23,472
2022-12-24,472
2022-12-25,472
2022-12-26,472
2022-12-27,472
2022-12-28,472
2022-12-29,472
2022-12-30,472
2022-12-31,472
2023-01-01,472
2023-01-02,472
2023-01-03,472
2023-01-04,472
2023-01-05,472
2023-01-06,472
2023-01-07,472
2023-01-08,472
2023-01-09,472
2023-01-10,472
2023-01-11,472
2023-01-12,472
2023-01-13,473
2023-01-14,473
2023-01-15,473
2023-01-16,473
2023-01-17,474
2023-01-18,475
2023-01-19,475
2023-01-20,475
2023-01-21,475
2023-01-22,475
2023-01-23,475
2023-01-24,475
2023-01-25,475
2023-01-26,475
2023-01-27,475
2023-01-28,475
2023-01-29,475
2023-01-30,475
2023-01-31,475
2023-02-01,475
2023-02-02,477
2023-02-03,476
2023-02-04,476
2023-02-05,476
2023-02-06,476
2023-02-07,476
2023-02-08,476
2023-02-09,475
2023-02-10,475
2023-02-11,475
2023-02-12,475
2023-02-13,475
2023-02-14,475
2023-02-15,475
2023-02-16,475
2023-02-17,475
2023-02-18,475
2023-02-19,475
2023-02-20,476
2023-02-21,476
2023-02-22,476
2023-02-23,476
2023-02-24,476
2023-02-25,476
2023-02-26,476
2023-02-27,476
2023-02-28,476
2023-03-01,475
2023-03-02,475
2023-03-03,475
2023-03-04,475
2023-03-05,478
2023-03-06,478
2023-03-07,478
2023-03-08,478
2023-03-09,478
2023-03-10,478
2023-03-11,478
2023-03-12,478
2023-03-13,478
2023-03-14,479
2023-03-15,479
2023-03-16,479
2023-03-17,479
2023-03-18,480
2023-03-19,479
2023-03-20,479
2023-03-21,479
2023-03-22,479
2023-03-23,479
2023-03-24,479
2023-03-25,479
2023-03-26,479
2023-03-27,479
2023-03-28,479
2023-03-29,479
2023-03-30,479
2023-03-31,479
2023-04-01,479
2023-04-02,479
2023-04-03,479
2023-04-04,479
2023-04-05,479
2023-04-06,479
2023-04-07,479
2023-04-08,479
2023-04-09,479
2023-04-10,480
2023-04-11,480
2023-04-12,480
2023-04-13,480
2023-04-14,481
2023-04-15,481
2023-04-16,481
2023-04-17,481
2023-04-18,480
2023-04-19,480
2023-04-20,480
2023-04-21,480
2023-04-22,480
2023-04-23,480
2023-04-24,480
2023-04-25,480
2023-04-26,480
2023-04-27,481
2023-04-28,481
2023-04-29,481
2023-04-30,481
2023-05-01,481
2023-05-02,481
2023-05-03,481
2023-05-04,481
2023-05-05,481
2023-05-06,481
2023-05-07,481
2023-05-08,481
2023-05-09,481
2023-05-10,481
2023-05-11,481
2023-05-12,481
2023-05-13,481
2023-05-14,480
2023-05-15,480
2023-05-16,480
2023-05-17,481
2023-05-18,481
2023-05-19,481
2023-05-20,481
2023-05-21,481
2023-05-22,481
2023-05-23,482
2023-05-24,482
2023-05-25,482
2023-05-26,482
2023-05-27,482
2023-05-28,482
2023-05-29,482
2023-05-30,482
2023-05-31,482
2023-06-01,482
